category_codes,category_codes_des,block_codes,block_codes_des,chapter_codes,chapter_codes_des
A65,Nonvenereal syphilis,A65-A69,Other spirochetal diseases (A65-A69),1,Certain infectious and parasitic diseases (A00-B99)
A66,Yaws,A65-A69,Other spirochetal diseases (A65-A69),1,Certain infectious and parasitic diseases (A00-B99)
A67,Pinta [carate],A65-A69,Other spirochetal diseases (A65-A69),1,Certain infectious and parasitic diseases (A00-B99)
A68,Relapsing fevers,A65-A69,Other spirochetal diseases (A65-A69),1,Certain infectious and parasitic diseases (A00-B99)
A69,Other spirochetal infections,A65-A69,Other spirochetal diseases (A65-A69),1,Certain infectious and parasitic diseases (A00-B99)
A70,Chlamydia psittaci infections,A70-A74,Other diseases caused by chlamydiae (A70-A74),1,Certain infectious and parasitic diseases (A00-B99)
A71,Trachoma,A70-A74,Other diseases caused by chlamydiae (A70-A74),1,Certain infectious and parasitic diseases (A00-B99)
A74,Other diseases caused by chlamydiae,A70-A74,Other diseases caused by chlamydiae (A70-A74),1,Certain infectious and parasitic diseases (A00-B99)
A75,Typhus fever,A75-A79,Rickettsioses (A75-A79),1,Certain infectious and parasitic diseases (A00-B99)
A77,Spotted fever [tick-borne rickettsioses],A75-A79,Rickettsioses (A75-A79),1,Certain infectious and parasitic diseases (A00-B99)
A78,Q fever,A75-A79,Rickettsioses (A75-A79),1,Certain infectious and parasitic diseases (A00-B99)
A79,Other rickettsioses,A75-A79,Rickettsioses (A75-A79),1,Certain infectious and parasitic diseases (A00-B99)
A80,Acute poliomyelitis,A80-A89,Viral and prion infections of the central nervous system (A80-A89),1,Certain infectious and parasitic diseases (A00-B99)
A81,Atypical virus infections of central nervous system,A80-A89,Viral and prion infections of the central nervous system (A80-A89),1,Certain infectious and parasitic diseases (A00-B99)
A82,Rabies,A80-A89,Viral and prion infections of the central nervous system (A80-A89),1,Certain infectious and parasitic diseases (A00-B99)
A83,Mosquito-borne viral encephalitis,A80-A89,Viral and prion infections of the central nervous system (A80-A89),1,Certain infectious and parasitic diseases (A00-B99)
A84,Tick-borne viral encephalitis,A80-A89,Viral and prion infections of the central nervous system (A80-A89),1,Certain infectious and parasitic diseases (A00-B99)
A85,"Other viral encephalitis, not elsewhere classified",A80-A89,Viral and prion infections of the central nervous system (A80-A89),1,Certain infectious and parasitic diseases (A00-B99)
A86,Unspecified viral encephalitis,A80-A89,Viral and prion infections of the central nervous system (A80-A89),1,Certain infectious and parasitic diseases (A00-B99)
A87,Viral meningitis,A80-A89,Viral and prion infections of the central nervous system (A80-A89),1,Certain infectious and parasitic diseases (A00-B99)
A88,"Other viral infections of central nervous system, not elsewhere classified",A80-A89,Viral and prion infections of the central nervous system (A80-A89),1,Certain infectious and parasitic diseases (A00-B99)
A89,Unspecified viral infection of central nervous system,A80-A89,Viral and prion infections of the central nervous system (A80-A89),1,Certain infectious and parasitic diseases (A00-B99)
A90,Dengue fever [classical dengue],A90-A99,Arthropod-borne viral fevers and viral hemorrhagic fevers (A90-A99),1,Certain infectious and parasitic diseases (A00-B99)
A91,Dengue hemorrhagic fever,A90-A99,Arthropod-borne viral fevers and viral hemorrhagic fevers (A90-A99),1,Certain infectious and parasitic diseases (A00-B99)
A92,Other mosquito-borne viral fevers,A90-A99,Arthropod-borne viral fevers and viral hemorrhagic fevers (A90-A99),1,Certain infectious and parasitic diseases (A00-B99)
A93,"Other arthropod-borne viral fevers, not elsewhere classified",A90-A99,Arthropod-borne viral fevers and viral hemorrhagic fevers (A90-A99),1,Certain infectious and parasitic diseases (A00-B99)
A94,Unspecified arthropod-borne viral fever,A90-A99,Arthropod-borne viral fevers and viral hemorrhagic fevers (A90-A99),1,Certain infectious and parasitic diseases (A00-B99)
A95,Yellow fever,A90-A99,Arthropod-borne viral fevers and viral hemorrhagic fevers (A90-A99),1,Certain infectious and parasitic diseases (A00-B99)
A96,Arenaviral hemorrhagic fever,A90-A99,Arthropod-borne viral fevers and viral hemorrhagic fevers (A90-A99),1,Certain infectious and parasitic diseases (A00-B99)
A98,"Other viral hemorrhagic fevers, not elsewhere classified",A90-A99,Arthropod-borne viral fevers and viral hemorrhagic fevers (A90-A99),1,Certain infectious and parasitic diseases (A00-B99)
A99,Unspecified viral hemorrhagic fever,A90-A99,Arthropod-borne viral fevers and viral hemorrhagic fevers (A90-A99),1,Certain infectious and parasitic diseases (A00-B99)
B00,Herpesviral [herpes simplex] infections,B00-B09,Viral infections characterized by skin and mucous membrane lesions (B00-B09),1,Certain infectious and parasitic diseases (A00-B99)
B01,Varicella [chickenpox],B00-B09,Viral infections characterized by skin and mucous membrane lesions (B00-B09),1,Certain infectious and parasitic diseases (A00-B99)
B02,Zoster [herpes zoster],B00-B09,Viral infections characterized by skin and mucous membrane lesions (B00-B09),1,Certain infectious and parasitic diseases (A00-B99)
B03,Smallpox,B00-B09,Viral infections characterized by skin and mucous membrane lesions (B00-B09),1,Certain infectious and parasitic diseases (A00-B99)
B04,Monkeypox,B00-B09,Viral infections characterized by skin and mucous membrane lesions (B00-B09),1,Certain infectious and parasitic diseases (A00-B99)
B05,Measles,B00-B09,Viral infections characterized by skin and mucous membrane lesions (B00-B09),1,Certain infectious and parasitic diseases (A00-B99)
B06,Rubella [German measles],B00-B09,Viral infections characterized by skin and mucous membrane lesions (B00-B09),1,Certain infectious and parasitic diseases (A00-B99)
B07,Viral warts,B00-B09,Viral infections characterized by skin and mucous membrane lesions (B00-B09),1,Certain infectious and parasitic diseases (A00-B99)
B08,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",B00-B09,Viral infections characterized by skin and mucous membrane lesions (B00-B09),1,Certain infectious and parasitic diseases (A00-B99)
B09,Unspecified viral infection characterized by skin and mucous membrane lesions,B00-B09,Viral infections characterized by skin and mucous membrane lesions (B00-B09),1,Certain infectious and parasitic diseases (A00-B99)
B10,Other human herpesviruses,B10,Other human herpesviruses,1,Certain infectious and parasitic diseases (A00-B99)
B10,Other human herpesviruses,B10,Other human herpesviruses,1,Certain infectious and parasitic diseases (A00-B99)
B15,Acute hepatitis A,B15-B19,Viral hepatitis (B15-B19),1,Certain infectious and parasitic diseases (A00-B99)
B16,Acute hepatitis B,B15-B19,Viral hepatitis (B15-B19),1,Certain infectious and parasitic diseases (A00-B99)
B17,Other acute viral hepatitis,B15-B19,Viral hepatitis (B15-B19),1,Certain infectious and parasitic diseases (A00-B99)
B18,Chronic viral hepatitis,B15-B19,Viral hepatitis (B15-B19),1,Certain infectious and parasitic diseases (A00-B99)
B19,Unspecified viral hepatitis,B15-B19,Viral hepatitis (B15-B19),1,Certain infectious and parasitic diseases (A00-B99)
B20,Human immunodeficiency virus [HIV] disease,B20,Human immunodeficiency virus [HIV] disease,1,Certain infectious and parasitic diseases (A00-B99)
B20,Human immunodeficiency virus [HIV] disease,B20,Human immunodeficiency virus [HIV] disease,1,Certain infectious and parasitic diseases (A00-B99)
B25,Cytomegaloviral disease,B25-B34,Other viral diseases (B25-B34),1,Certain infectious and parasitic diseases (A00-B99)
B26,Mumps,B25-B34,Other viral diseases (B25-B34),1,Certain infectious and parasitic diseases (A00-B99)
B27,Infectious mononucleosis,B25-B34,Other viral diseases (B25-B34),1,Certain infectious and parasitic diseases (A00-B99)
B30,Viral conjunctivitis,B25-B34,Other viral diseases (B25-B34),1,Certain infectious and parasitic diseases (A00-B99)
B33,"Other viral diseases, not elsewhere classified",B25-B34,Other viral diseases (B25-B34),1,Certain infectious and parasitic diseases (A00-B99)
B34,Viral infection of unspecified site,B25-B34,Other viral diseases (B25-B34),1,Certain infectious and parasitic diseases (A00-B99)
B35,Dermatophytosis,B35-B49,Mycoses (B35-B49),1,Certain infectious and parasitic diseases (A00-B99)
B36,Other superficial mycoses,B35-B49,Mycoses (B35-B49),1,Certain infectious and parasitic diseases (A00-B99)
B37,Candidiasis,B35-B49,Mycoses (B35-B49),1,Certain infectious and parasitic diseases (A00-B99)
B38,Coccidioidomycosis,B35-B49,Mycoses (B35-B49),1,Certain infectious and parasitic diseases (A00-B99)
B39,Histoplasmosis,B35-B49,Mycoses (B35-B49),1,Certain infectious and parasitic diseases (A00-B99)
B40,Blastomycosis,B35-B49,Mycoses (B35-B49),1,Certain infectious and parasitic diseases (A00-B99)
B41,Paracoccidioidomycosis,B35-B49,Mycoses (B35-B49),1,Certain infectious and parasitic diseases (A00-B99)
B42,Sporotrichosis,B35-B49,Mycoses (B35-B49),1,Certain infectious and parasitic diseases (A00-B99)
B43,Chromomycosis and pheomycotic abscess,B35-B49,Mycoses (B35-B49),1,Certain infectious and parasitic diseases (A00-B99)
B44,Aspergillosis,B35-B49,Mycoses (B35-B49),1,Certain infectious and parasitic diseases (A00-B99)
B45,Cryptococcosis,B35-B49,Mycoses (B35-B49),1,Certain infectious and parasitic diseases (A00-B99)
B46,Zygomycosis,B35-B49,Mycoses (B35-B49),1,Certain infectious and parasitic diseases (A00-B99)
B47,Mycetoma,B35-B49,Mycoses (B35-B49),1,Certain infectious and parasitic diseases (A00-B99)
B48,"Other mycoses, not elsewhere classified",B35-B49,Mycoses (B35-B49),1,Certain infectious and parasitic diseases (A00-B99)
B49,Unspecified mycosis,B35-B49,Mycoses (B35-B49),1,Certain infectious and parasitic diseases (A00-B99)
B50,Plasmodium falciparum malaria,B50-B64,Protozoal diseases (B50-B64),1,Certain infectious and parasitic diseases (A00-B99)
B51,Plasmodium vivax malaria,B50-B64,Protozoal diseases (B50-B64),1,Certain infectious and parasitic diseases (A00-B99)
B52,Plasmodium malariae malaria,B50-B64,Protozoal diseases (B50-B64),1,Certain infectious and parasitic diseases (A00-B99)
B53,Other specified malaria,B50-B64,Protozoal diseases (B50-B64),1,Certain infectious and parasitic diseases (A00-B99)
B54,Unspecified malaria,B50-B64,Protozoal diseases (B50-B64),1,Certain infectious and parasitic diseases (A00-B99)
B55,Leishmaniasis,B50-B64,Protozoal diseases (B50-B64),1,Certain infectious and parasitic diseases (A00-B99)
B56,African trypanosomiasis,B50-B64,Protozoal diseases (B50-B64),1,Certain infectious and parasitic diseases (A00-B99)
B57,Chagas' disease,B50-B64,Protozoal diseases (B50-B64),1,Certain infectious and parasitic diseases (A00-B99)
B58,Toxoplasmosis,B50-B64,Protozoal diseases (B50-B64),1,Certain infectious and parasitic diseases (A00-B99)
B59,Pneumocystosis,B50-B64,Protozoal diseases (B50-B64),1,Certain infectious and parasitic diseases (A00-B99)
B60,"Other protozoal diseases, not elsewhere classified",B50-B64,Protozoal diseases (B50-B64),1,Certain infectious and parasitic diseases (A00-B99)
B64,Unspecified protozoal disease,B50-B64,Protozoal diseases (B50-B64),1,Certain infectious and parasitic diseases (A00-B99)
B65,Schistosomiasis [bilharziasis],B65-B83,Helminthiases (B65-B83),1,Certain infectious and parasitic diseases (A00-B99)
B66,Other fluke infections,B65-B83,Helminthiases (B65-B83),1,Certain infectious and parasitic diseases (A00-B99)
B67,Echinococcosis,B65-B83,Helminthiases (B65-B83),1,Certain infectious and parasitic diseases (A00-B99)
B68,Taeniasis,B65-B83,Helminthiases (B65-B83),1,Certain infectious and parasitic diseases (A00-B99)
B69,Cysticercosis,B65-B83,Helminthiases (B65-B83),1,Certain infectious and parasitic diseases (A00-B99)
B70,Diphyllobothriasis and sparganosis,B65-B83,Helminthiases (B65-B83),1,Certain infectious and parasitic diseases (A00-B99)
B71,Other cestode infections,B65-B83,Helminthiases (B65-B83),1,Certain infectious and parasitic diseases (A00-B99)
B72,Dracunculiasis,B65-B83,Helminthiases (B65-B83),1,Certain infectious and parasitic diseases (A00-B99)
B73,Onchocerciasis,B65-B83,Helminthiases (B65-B83),1,Certain infectious and parasitic diseases (A00-B99)
B74,Filariasis,B65-B83,Helminthiases (B65-B83),1,Certain infectious and parasitic diseases (A00-B99)
B75,Trichinellosis,B65-B83,Helminthiases (B65-B83),1,Certain infectious and parasitic diseases (A00-B99)
B76,Hookworm diseases,B65-B83,Helminthiases (B65-B83),1,Certain infectious and parasitic diseases (A00-B99)
B77,Ascariasis,B65-B83,Helminthiases (B65-B83),1,Certain infectious and parasitic diseases (A00-B99)
B78,Strongyloidiasis,B65-B83,Helminthiases (B65-B83),1,Certain infectious and parasitic diseases (A00-B99)
B79,Trichuriasis,B65-B83,Helminthiases (B65-B83),1,Certain infectious and parasitic diseases (A00-B99)
B80,Enterobiasis,B65-B83,Helminthiases (B65-B83),1,Certain infectious and parasitic diseases (A00-B99)
B81,"Other intestinal helminthiases, not elsewhere classified",B65-B83,Helminthiases (B65-B83),1,Certain infectious and parasitic diseases (A00-B99)
B82,Unspecified intestinal parasitism,B65-B83,Helminthiases (B65-B83),1,Certain infectious and parasitic diseases (A00-B99)
B83,Other helminthiases,B65-B83,Helminthiases (B65-B83),1,Certain infectious and parasitic diseases (A00-B99)
B85,Pediculosis and phthiriasis,B85-B89,"Pediculosis, acariasis and other infestations (B85-B89)",1,Certain infectious and parasitic diseases (A00-B99)
B86,Scabies,B85-B89,"Pediculosis, acariasis and other infestations (B85-B89)",1,Certain infectious and parasitic diseases (A00-B99)
B87,Myiasis,B85-B89,"Pediculosis, acariasis and other infestations (B85-B89)",1,Certain infectious and parasitic diseases (A00-B99)
B88,Other infestations,B85-B89,"Pediculosis, acariasis and other infestations (B85-B89)",1,Certain infectious and parasitic diseases (A00-B99)
B89,Unspecified parasitic disease,B85-B89,"Pediculosis, acariasis and other infestations (B85-B89)",1,Certain infectious and parasitic diseases (A00-B99)
B90,Sequelae of tuberculosis,B90-B94,Sequelae of infectious and parasitic diseases (B90-B94),1,Certain infectious and parasitic diseases (A00-B99)
B91,Sequelae of poliomyelitis,B90-B94,Sequelae of infectious and parasitic diseases (B90-B94),1,Certain infectious and parasitic diseases (A00-B99)
B92,Sequelae of leprosy,B90-B94,Sequelae of infectious and parasitic diseases (B90-B94),1,Certain infectious and parasitic diseases (A00-B99)
B94,Sequelae of other and unspecified infectious and parasitic diseases,B90-B94,Sequelae of infectious and parasitic diseases (B90-B94),1,Certain infectious and parasitic diseases (A00-B99)
B95,"Streptococcus, Staphylococcus, and Enterococcus as the cause of diseases classified elsewhere",B95-B97,Bacterial and viral infectious agents (B95-B97),1,Certain infectious and parasitic diseases (A00-B99)
B96,Other bacterial agents as the cause of diseases classified elsewhere,B95-B97,Bacterial and viral infectious agents (B95-B97),1,Certain infectious and parasitic diseases (A00-B99)
B97,Viral agents as the cause of diseases classified elsewhere,B95-B97,Bacterial and viral infectious agents (B95-B97),1,Certain infectious and parasitic diseases (A00-B99)
B99,Other and unspecified infectious diseases,B99,Other and unspecified infectious diseases,1,Certain infectious and parasitic diseases (A00-B99)
B99,Other and unspecified infectious diseases,B99,Other and unspecified infectious diseases,1,Certain infectious and parasitic diseases (A00-B99)
C00,Malignant neoplasm of lip,C00-C14,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",2,Neoplasms (C00-D49)
C01,Malignant neoplasm of base of tongue,C00-C14,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",2,Neoplasms (C00-D49)
C02,Malignant neoplasm of other and unspecified parts of tongue,C00-C14,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",2,Neoplasms (C00-D49)
C03,Malignant neoplasm of gum,C00-C14,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",2,Neoplasms (C00-D49)
C04,Malignant neoplasm of floor of mouth,C00-C14,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",2,Neoplasms (C00-D49)
C05,Malignant neoplasm of palate,C00-C14,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",2,Neoplasms (C00-D49)
C06,Malignant neoplasm of other and unspecified parts of mouth,C00-C14,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",2,Neoplasms (C00-D49)
C07,Malignant neoplasm of parotid gland,C00-C14,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",2,Neoplasms (C00-D49)
C08,Malignant neoplasm of other and unspecified major salivary glands,C00-C14,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",2,Neoplasms (C00-D49)
C09,Malignant neoplasm of tonsil,C00-C14,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",2,Neoplasms (C00-D49)
C10,Malignant neoplasm of oropharynx,C00-C14,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",2,Neoplasms (C00-D49)
C11,Malignant neoplasm of nasopharynx,C00-C14,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",2,Neoplasms (C00-D49)
C12,Malignant neoplasm of pyriform sinus,C00-C14,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",2,Neoplasms (C00-D49)
C13,Malignant neoplasm of hypopharynx,C00-C14,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",2,Neoplasms (C00-D49)
C14,"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx",C00-C14,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",2,Neoplasms (C00-D49)
C15,Malignant neoplasm of esophagus,C15-C26,Malignant neoplasms of digestive organs (C15-C26),2,Neoplasms (C00-D49)
C16,Malignant neoplasm of stomach,C15-C26,Malignant neoplasms of digestive organs (C15-C26),2,Neoplasms (C00-D49)
C17,Malignant neoplasm of small intestine,C15-C26,Malignant neoplasms of digestive organs (C15-C26),2,Neoplasms (C00-D49)
C18,Malignant neoplasm of colon,C15-C26,Malignant neoplasms of digestive organs (C15-C26),2,Neoplasms (C00-D49)
C19,Malignant neoplasm of rectosigmoid junction,C15-C26,Malignant neoplasms of digestive organs (C15-C26),2,Neoplasms (C00-D49)
C20,Malignant neoplasm of rectum,C15-C26,Malignant neoplasms of digestive organs (C15-C26),2,Neoplasms (C00-D49)
C21,Malignant neoplasm of anus and anal canal,C15-C26,Malignant neoplasms of digestive organs (C15-C26),2,Neoplasms (C00-D49)
C22,Malignant neoplasm of liver and intrahepatic bile ducts,C15-C26,Malignant neoplasms of digestive organs (C15-C26),2,Neoplasms (C00-D49)
C23,Malignant neoplasm of gallbladder,C15-C26,Malignant neoplasms of digestive organs (C15-C26),2,Neoplasms (C00-D49)
C24,Malignant neoplasm of other and unspecified parts of biliary tract,C15-C26,Malignant neoplasms of digestive organs (C15-C26),2,Neoplasms (C00-D49)
C25,Malignant neoplasm of pancreas,C15-C26,Malignant neoplasms of digestive organs (C15-C26),2,Neoplasms (C00-D49)
C26,Malignant neoplasm of other and ill-defined digestive organs,C15-C26,Malignant neoplasms of digestive organs (C15-C26),2,Neoplasms (C00-D49)
C30,Malignant neoplasm of nasal cavity and middle ear,C30-C39,Malignant neoplasms of respiratory and intrathoracic organs (C30-C39),2,Neoplasms (C00-D49)
C31,Malignant neoplasm of accessory sinuses,C30-C39,Malignant neoplasms of respiratory and intrathoracic organs (C30-C39),2,Neoplasms (C00-D49)
C32,Malignant neoplasm of larynx,C30-C39,Malignant neoplasms of respiratory and intrathoracic organs (C30-C39),2,Neoplasms (C00-D49)
C33,Malignant neoplasm of trachea,C30-C39,Malignant neoplasms of respiratory and intrathoracic organs (C30-C39),2,Neoplasms (C00-D49)
C34,Malignant neoplasm of bronchus and lung,C30-C39,Malignant neoplasms of respiratory and intrathoracic organs (C30-C39),2,Neoplasms (C00-D49)
C37,Malignant neoplasm of thymus,C30-C39,Malignant neoplasms of respiratory and intrathoracic organs (C30-C39),2,Neoplasms (C00-D49)
C38,"Malignant neoplasm of heart, mediastinum and pleura",C30-C39,Malignant neoplasms of respiratory and intrathoracic organs (C30-C39),2,Neoplasms (C00-D49)
C39,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs,C30-C39,Malignant neoplasms of respiratory and intrathoracic organs (C30-C39),2,Neoplasms (C00-D49)
C40,Malignant neoplasm of bone and articular cartilage of limbs,C40-C41,Malignant neoplasms of bone and articular cartilage (C40-C41),2,Neoplasms (C00-D49)
C41,Malignant neoplasm of bone and articular cartilage of other and unspecified sites,C40-C41,Malignant neoplasms of bone and articular cartilage (C40-C41),2,Neoplasms (C00-D49)
C43,Malignant melanoma of skin,C43-C44,Melanoma and other malignant neoplasms of skin (C43-C44),2,Neoplasms (C00-D49)
C4A,Merkel cell carcinoma,C43-C44,Melanoma and other malignant neoplasms of skin (C43-C44),2,Neoplasms (C00-D49)
C44,Other and unspecified malignant neoplasm of skin,C43-C44,Melanoma and other malignant neoplasms of skin (C43-C44),2,Neoplasms (C00-D49)
C45,Mesothelioma,C45-C49,Malignant neoplasms of mesothelial and soft tissue (C45-C49),2,Neoplasms (C00-D49)
C46,Kaposi's sarcoma,C45-C49,Malignant neoplasms of mesothelial and soft tissue (C45-C49),2,Neoplasms (C00-D49)
C47,Malignant neoplasm of peripheral nerves and autonomic nervous system,C45-C49,Malignant neoplasms of mesothelial and soft tissue (C45-C49),2,Neoplasms (C00-D49)
