category_codes,category_codes_des,block_codes,block_codes_des,chapter_codes,chapter_codes_des,symptoms
42,Human immunodeficiency virus [HIV] disease,042-042,Human Immunodeficiency Virus,001-139,Infectious And Parasitic Diseases,
45,Acute poliomyelitis,045-049,Poliomyelitis And Other Non-Arthropod-Borne Viral Diseases Of Central Nervous System,001-139,Infectious And Parasitic Diseases,"Fever, sore throat"
46,Slow virus infection and prion diseases of central nervous system,045-049,Poliomyelitis And Other Non-Arthropod-Borne Viral Diseases Of Central Nervous System,001-139,Infectious And Parasitic Diseases,
47,Meningitis due to enterovirus,045-049,Poliomyelitis And Other Non-Arthropod-Borne Viral Diseases Of Central Nervous System,001-139,Infectious And Parasitic Diseases,
48,Other enterovirus diseases of central nervous system,045-049,Poliomyelitis And Other Non-Arthropod-Borne Viral Diseases Of Central Nervous System,001-139,Infectious And Parasitic Diseases,
49,Other non-arthropod-borne viral diseases of central nervous system,045-049,Poliomyelitis And Other Non-Arthropod-Borne Viral Diseases Of Central Nervous System,001-139,Infectious And Parasitic Diseases,
50,Smallpox,050-059,Viral Diseases Accompanied By Exanthem,001-139,Infectious And Parasitic Diseases,"
Early: Fever, vomiting, mouth sores
Later: Fluid filled blisters which scab over
"
51,Cowpox and paravaccinia,050-059,Viral Diseases Accompanied By Exanthem,001-139,Infectious And Parasitic Diseases,
52,Chickenpox,050-059,Viral Diseases Accompanied By Exanthem,001-139,Infectious And Parasitic Diseases,"Small, itchy blisters, headache, loss of appetite, tiredness, fever"
53,Herpes zoster,050-059,Viral Diseases Accompanied By Exanthem,001-139,Infectious And Parasitic Diseases,Painful rash
54,Herpes simplex,050-059,Viral Diseases Accompanied By Exanthem,001-139,Infectious And Parasitic Diseases,"Blisters that break open and form small ulcers, fever, swollen lymph nodes"
55,Measles,050-059,Viral Diseases Accompanied By Exanthem,001-139,Infectious And Parasitic Diseases,"Fever, cough, runny nose, inflamed eyes, rash"
