category_codes,category_codes_des,block_codes,block_codes_des,chapter_codes,chapter_codes_des
23,Brucellosis,020-027,Zoonotic Bacterial Diseases,001-139,Infectious And Parasitic Diseases
24,Glanders,020-027,Zoonotic Bacterial Diseases,001-139,Infectious And Parasitic Diseases
25,Melioidosis,020-027,Zoonotic Bacterial Diseases,001-139,Infectious And Parasitic Diseases
26,Rat-bite fever,020-027,Zoonotic Bacterial Diseases,001-139,Infectious And Parasitic Diseases
27,Other zoonotic bacterial diseases,020-027,Zoonotic Bacterial Diseases,001-139,Infectious And Parasitic Diseases
30,Leprosy,030-041,Other Bacterial Diseases,001-139,Infectious And Parasitic Diseases
31,Diseases due to other mycobacteria,030-041,Other Bacterial Diseases,001-139,Infectious And Parasitic Diseases
32,Diphtheria,030-041,Other Bacterial Diseases,001-139,Infectious And Parasitic Diseases
33,Whooping cough,030-041,Other Bacterial Diseases,001-139,Infectious And Parasitic Diseases
34,Streptococcal sore throat and scarlet fever,030-041,Other Bacterial Diseases,001-139,Infectious And Parasitic Diseases
35,Erysipelas,030-041,Other Bacterial Diseases,001-139,Infectious And Parasitic Diseases
36,Meningococcal infection,030-041,Other Bacterial Diseases,001-139,Infectious And Parasitic Diseases
37,Tetanus,030-041,Other Bacterial Diseases,001-139,Infectious And Parasitic Diseases
38,Septicemia,030-041,Other Bacterial Diseases,001-139,Infectious And Parasitic Diseases
39,Actinomycotic infections,030-041,Other Bacterial Diseases,001-139,Infectious And Parasitic Diseases
40,Other bacterial diseases,030-041,Other Bacterial Diseases,001-139,Infectious And Parasitic Diseases
41,Bacterial infection in conditions classified elsewhere and of unspecified site,030-041,Other Bacterial Diseases,001-139,Infectious And Parasitic Diseases
42,Human immunodeficiency virus [HIV] disease,042-042,Human Immunodeficiency Virus,001-139,Infectious And Parasitic Diseases
45,Acute poliomyelitis,045-049,Poliomyelitis And Other Non-Arthropod-Borne Viral Diseases Of Central Nervous System,001-139,Infectious And Parasitic Diseases
46,Slow virus infection and prion diseases of central nervous system,045-049,Poliomyelitis And Other Non-Arthropod-Borne Viral Diseases Of Central Nervous System,001-139,Infectious And Parasitic Diseases
47,Meningitis due to enterovirus,045-049,Poliomyelitis And Other Non-Arthropod-Borne Viral Diseases Of Central Nervous System,001-139,Infectious And Parasitic Diseases
48,Other enterovirus diseases of central nervous system,045-049,Poliomyelitis And Other Non-Arthropod-Borne Viral Diseases Of Central Nervous System,001-139,Infectious And Parasitic Diseases
49,Other non-arthropod-borne viral diseases of central nervous system,045-049,Poliomyelitis And Other Non-Arthropod-Borne Viral Diseases Of Central Nervous System,001-139,Infectious And Parasitic Diseases
50,Smallpox,050-059,Viral Diseases Accompanied By Exanthem,001-139,Infectious And Parasitic Diseases
51,Cowpox and paravaccinia,050-059,Viral Diseases Accompanied By Exanthem,001-139,Infectious And Parasitic Diseases
52,Chickenpox,050-059,Viral Diseases Accompanied By Exanthem,001-139,Infectious And Parasitic Diseases
53,Herpes zoster,050-059,Viral Diseases Accompanied By Exanthem,001-139,Infectious And Parasitic Diseases
54,Herpes simplex,050-059,Viral Diseases Accompanied By Exanthem,001-139,Infectious And Parasitic Diseases
55,Measles,050-059,Viral Diseases Accompanied By Exanthem,001-139,Infectious And Parasitic Diseases
56,Rubella,050-059,Viral Diseases Accompanied By Exanthem,001-139,Infectious And Parasitic Diseases
57,Other viral exanthemata,050-059,Viral Diseases Accompanied By Exanthem,001-139,Infectious And Parasitic Diseases
58,Other human herpesvirus,050-059,Viral Diseases Accompanied By Exanthem,001-139,Infectious And Parasitic Diseases
59,Other poxvirus infections,050-059,Viral Diseases Accompanied By Exanthem,001-139,Infectious And Parasitic Diseases
60,Yellow fever,060-066,Arthropod-Borne Viral Diseases,001-139,Infectious And Parasitic Diseases
61,Dengue,060-066,Arthropod-Borne Viral Diseases,001-139,Infectious And Parasitic Diseases
62,Mosquito-borne viral encephalitis,060-066,Arthropod-Borne Viral Diseases,001-139,Infectious And Parasitic Diseases
63,Tick-borne viral encephalitis,060-066,Arthropod-Borne Viral Diseases,001-139,Infectious And Parasitic Diseases
64,Viral encephalitis transmitted by other and unspecified arthropods,060-066,Arthropod-Borne Viral Diseases,001-139,Infectious And Parasitic Diseases
65,Arthropod-borne hemorrhagic fever,060-066,Arthropod-Borne Viral Diseases,001-139,Infectious And Parasitic Diseases
66,Other arthropod-borne viral diseases,060-066,Arthropod-Borne Viral Diseases,001-139,Infectious And Parasitic Diseases
70,Viral hepatitis,070-079,Other Diseases Due To Viruses And Chlamydiae,001-139,Infectious And Parasitic Diseases
71,Rabies,070-079,Other Diseases Due To Viruses And Chlamydiae,001-139,Infectious And Parasitic Diseases
72,Mumps,070-079,Other Diseases Due To Viruses And Chlamydiae,001-139,Infectious And Parasitic Diseases
73,Ornithosis,070-079,Other Diseases Due To Viruses And Chlamydiae,001-139,Infectious And Parasitic Diseases
74,Specific diseases due to coxsackie virus,070-079,Other Diseases Due To Viruses And Chlamydiae,001-139,Infectious And Parasitic Diseases
75,Infectious mononucleosis,070-079,Other Diseases Due To Viruses And Chlamydiae,001-139,Infectious And Parasitic Diseases
76,Trachoma,070-079,Other Diseases Due To Viruses And Chlamydiae,001-139,Infectious And Parasitic Diseases
77,Other diseases of conjunctiva due to viruses and chlamydiae,070-079,Other Diseases Due To Viruses And Chlamydiae,001-139,Infectious And Parasitic Diseases
78,Other diseases due to viruses and chlamydiae,070-079,Other Diseases Due To Viruses And Chlamydiae,001-139,Infectious And Parasitic Diseases
79,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,070-079,Other Diseases Due To Viruses And Chlamydiae,001-139,Infectious And Parasitic Diseases
80,Louse-borne (epidemic) typhus,080-088,Rickettsioses And Other Arthropod-Borne Diseases,001-139,Infectious And Parasitic Diseases
81,Other typhus,080-088,Rickettsioses And Other Arthropod-Borne Diseases,001-139,Infectious And Parasitic Diseases
82,Tick-borne rickettsioses,080-088,Rickettsioses And Other Arthropod-Borne Diseases,001-139,Infectious And Parasitic Diseases
83,Other rickettsioses,080-088,Rickettsioses And Other Arthropod-Borne Diseases,001-139,Infectious And Parasitic Diseases
84,Malaria,080-088,Rickettsioses And Other Arthropod-Borne Diseases,001-139,Infectious And Parasitic Diseases
85,Leishmaniasis,080-088,Rickettsioses And Other Arthropod-Borne Diseases,001-139,Infectious And Parasitic Diseases
86,Trypanosomiasis,080-088,Rickettsioses And Other Arthropod-Borne Diseases,001-139,Infectious And Parasitic Diseases
87,Relapsing fever,080-088,Rickettsioses And Other Arthropod-Borne Diseases,001-139,Infectious And Parasitic Diseases
88,Other arthropod-borne diseases,080-088,Rickettsioses And Other Arthropod-Borne Diseases,001-139,Infectious And Parasitic Diseases
90,Congenital syphilis,090-099,Syphilis And Other Venereal Diseases,001-139,Infectious And Parasitic Diseases
91,Early syphilis symptomatic,090-099,Syphilis And Other Venereal Diseases,001-139,Infectious And Parasitic Diseases
92,Early syphilis latent,090-099,Syphilis And Other Venereal Diseases,001-139,Infectious And Parasitic Diseases
93,Cardiovascular syphilis,090-099,Syphilis And Other Venereal Diseases,001-139,Infectious And Parasitic Diseases
94,Neurosyphilis,090-099,Syphilis And Other Venereal Diseases,001-139,Infectious And Parasitic Diseases
95,Other forms of late syphilis with symptoms,090-099,Syphilis And Other Venereal Diseases,001-139,Infectious And Parasitic Diseases
96,"Late syphilis, latent",090-099,Syphilis And Other Venereal Diseases,001-139,Infectious And Parasitic Diseases
97,Other and unspecified syphilis,090-099,Syphilis And Other Venereal Diseases,001-139,Infectious And Parasitic Diseases
98,Gonococcal infections,090-099,Syphilis And Other Venereal Diseases,001-139,Infectious And Parasitic Diseases
99,Other venereal diseases,090-099,Syphilis And Other Venereal Diseases,001-139,Infectious And Parasitic Diseases
100,Leptospirosis,100-104,Other Spirochetal Diseases,001-139,Infectious And Parasitic Diseases
101,Vincent's angina,100-104,Other Spirochetal Diseases,001-139,Infectious And Parasitic Diseases
102,Yaws,100-104,Other Spirochetal Diseases,001-139,Infectious And Parasitic Diseases
103,Pinta,100-104,Other Spirochetal Diseases,001-139,Infectious And Parasitic Diseases
104,Other spirochetal infection,100-104,Other Spirochetal Diseases,001-139,Infectious And Parasitic Diseases
110,Dermatophytosis,110-118,Mycoses,001-139,Infectious And Parasitic Diseases
111,Dermatomycosis other and unspecified,110-118,Mycoses,001-139,Infectious And Parasitic Diseases
112,Candidiasis,110-118,Mycoses,001-139,Infectious And Parasitic Diseases
114,Coccidioidomycosis,110-118,Mycoses,001-139,Infectious And Parasitic Diseases
115,Histoplasmosis,110-118,Mycoses,001-139,Infectious And Parasitic Diseases
116,Blastomycotic infection,110-118,Mycoses,001-139,Infectious And Parasitic Diseases
117,Other mycoses,110-118,Mycoses,001-139,Infectious And Parasitic Diseases
118,Opportunistic mycoses,110-118,Mycoses,001-139,Infectious And Parasitic Diseases
120,Schistosomiasis (bilharziasis),120-129,Helminthiases,001-139,Infectious And Parasitic Diseases
121,Other trematode infections,120-129,Helminthiases,001-139,Infectious And Parasitic Diseases
122,Echinococcosis,120-129,Helminthiases,001-139,Infectious And Parasitic Diseases
123,Other cestode infection,120-129,Helminthiases,001-139,Infectious And Parasitic Diseases
124,Trichinosis,120-129,Helminthiases,001-139,Infectious And Parasitic Diseases
125,Filarial infection and dracontiasis,120-129,Helminthiases,001-139,Infectious And Parasitic Diseases
126,Ancylostomiasis and necatoriasis,120-129,Helminthiases,001-139,Infectious And Parasitic Diseases
127,Other intestinal helminthiases,120-129,Helminthiases,001-139,Infectious And Parasitic Diseases
128,Other and unspecified helminthiases,120-129,Helminthiases,001-139,Infectious And Parasitic Diseases
129,"Intestinal parasitism, unspecified",120-129,Helminthiases,001-139,Infectious And Parasitic Diseases
130,Toxoplasmosis,130-136,Other Infectious And Parasitic Diseases,001-139,Infectious And Parasitic Diseases
131,Trichomoniasis,130-136,Other Infectious And Parasitic Diseases,001-139,Infectious And Parasitic Diseases
132,Pediculosis and phthirus infestation,130-136,Other Infectious And Parasitic Diseases,001-139,Infectious And Parasitic Diseases
133,Acariasis,130-136,Other Infectious And Parasitic Diseases,001-139,Infectious And Parasitic Diseases
134,Other infestation,130-136,Other Infectious And Parasitic Diseases,001-139,Infectious And Parasitic Diseases
135,Sarcoidosis,130-136,Other Infectious And Parasitic Diseases,001-139,Infectious And Parasitic Diseases
136,Other and unspecified infectious and parasitic diseases,130-136,Other Infectious And Parasitic Diseases,001-139,Infectious And Parasitic Diseases
137,Late effects of tuberculosis,137-139,Late Effects Of Infectious And Parasitic Diseases,001-139,Infectious And Parasitic Diseases
138,Late effects of acute poliomyelitis,137-139,Late Effects Of Infectious And Parasitic Diseases,001-139,Infectious And Parasitic Diseases
139,Late effects of other infectious and parasitic diseases,137-139,Late Effects Of Infectious And Parasitic Diseases,001-139,Infectious And Parasitic Diseases
140,Malignant neoplasm of lip,140-149,"Malignant Neoplasm Of Lip, Oral Cavity, And Pharynx",140-239,Neoplasms
141,Malignant neoplasm of tongue,140-149,"Malignant Neoplasm Of Lip, Oral Cavity, And Pharynx",140-239,Neoplasms
142,Malignant neoplasm of major salivary glands,140-149,"Malignant Neoplasm Of Lip, Oral Cavity, And Pharynx",140-239,Neoplasms
143,Malignant neoplasm of gum,140-149,"Malignant Neoplasm Of Lip, Oral Cavity, And Pharynx",140-239,Neoplasms
144,Malignant neoplasm of floor of mouth,140-149,"Malignant Neoplasm Of Lip, Oral Cavity, And Pharynx",140-239,Neoplasms
145,Malignant neoplasm of other and unspecified parts of mouth,140-149,"Malignant Neoplasm Of Lip, Oral Cavity, And Pharynx",140-239,Neoplasms
146,Malignant neoplasm of oropharynx,140-149,"Malignant Neoplasm Of Lip, Oral Cavity, And Pharynx",140-239,Neoplasms
147,Malignant neoplasm of nasopharynx,140-149,"Malignant Neoplasm Of Lip, Oral Cavity, And Pharynx",140-239,Neoplasms
148,Malignant neoplasm of hypopharynx,140-149,"Malignant Neoplasm Of Lip, Oral Cavity, And Pharynx",140-239,Neoplasms
149,Malignant neoplasm of other and ill-defined sites within the lip oral cavity and pharynx,140-149,"Malignant Neoplasm Of Lip, Oral Cavity, And Pharynx",140-239,Neoplasms
150,Malignant neoplasm of esophagus,150-159,Malignant Neoplasm Of Digestive Organs And Peritoneum,140-239,Neoplasms
151,Malignant neoplasm of stomach,150-159,Malignant Neoplasm Of Digestive Organs And Peritoneum,140-239,Neoplasms
152,Malignant neoplasm of small intestine including duodenum,150-159,Malignant Neoplasm Of Digestive Organs And Peritoneum,140-239,Neoplasms
153,Malignant neoplasm of colon,150-159,Malignant Neoplasm Of Digestive Organs And Peritoneum,140-239,Neoplasms
154,Malignant neoplasm of rectum rectosigmoid junction and anus,150-159,Malignant Neoplasm Of Digestive Organs And Peritoneum,140-239,Neoplasms
155,Malignant neoplasm of liver and intrahepatic bile ducts,150-159,Malignant Neoplasm Of Digestive Organs And Peritoneum,140-239,Neoplasms
156,Malignant neoplasm of gallbladder and extrahepatic bile ducts,150-159,Malignant Neoplasm Of Digestive Organs And Peritoneum,140-239,Neoplasms
157,Malignant neoplasm of pancreas,150-159,Malignant Neoplasm Of Digestive Organs And Peritoneum,140-239,Neoplasms
158,Malignant neoplasm of retroperitoneum and peritoneum,150-159,Malignant Neoplasm Of Digestive Organs And Peritoneum,140-239,Neoplasms
159,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum,150-159,Malignant Neoplasm Of Digestive Organs And Peritoneum,140-239,Neoplasms
160,Malignant neoplasm of nasal cavities middle ear and accessory sinuses,160-165,Malignant Neoplasm Of Respiratory And Intrathoracic Organs,140-239,Neoplasms
161,Malignant neoplasm of larynx,160-165,Malignant Neoplasm Of Respiratory And Intrathoracic Organs,140-239,Neoplasms
162,Malignant neoplasm of trachea bronchus and lung,160-165,Malignant Neoplasm Of Respiratory And Intrathoracic Organs,140-239,Neoplasms
163,Malignant neoplasm of pleura,160-165,Malignant Neoplasm Of Respiratory And Intrathoracic Organs,140-239,Neoplasms
164,Malignant neoplasm of thymus heart and mediastinum,160-165,Malignant Neoplasm Of Respiratory And Intrathoracic Organs,140-239,Neoplasms
165,Malignant neoplasm of other and ill-defined sites within the respiratory system and intrathoracic organs,160-165,Malignant Neoplasm Of Respiratory And Intrathoracic Organs,140-239,Neoplasms
170,Malignant neoplasm of bone and articular cartilage,170-176,"Malignant Neoplasm Of Bone, Connective Tissue, Skin, And Breast",140-239,Neoplasms
171,Malignant neoplasm of connective and other soft tissue,170-176,"Malignant Neoplasm Of Bone, Connective Tissue, Skin, And Breast",140-239,Neoplasms
172,Malignant melanoma of skin,170-176,"Malignant Neoplasm Of Bone, Connective Tissue, Skin, And Breast",140-239,Neoplasms
173,Oth and unspec malignant neoplasm of skin,170-176,"Malignant Neoplasm Of Bone, Connective Tissue, Skin, And Breast",140-239,Neoplasms
174,Malignant neoplasm of female breast,170-176,"Malignant Neoplasm Of Bone, Connective Tissue, Skin, And Breast",140-239,Neoplasms
175,Malignant neoplasm of male breast,170-176,"Malignant Neoplasm Of Bone, Connective Tissue, Skin, And Breast",140-239,Neoplasms
176,Kaposi's sarcoma,170-176,"Malignant Neoplasm Of Bone, Connective Tissue, Skin, And Breast",140-239,Neoplasms
179,"Malignant neoplasm of uterus, part unspecified",179-189,Malignant Neoplasm Of Genitourinary Organs,140-239,Neoplasms
180,Malignant neoplasm of cervix uteri,179-189,Malignant Neoplasm Of Genitourinary Organs,140-239,Neoplasms
181,Malignant neoplasm of placenta,179-189,Malignant Neoplasm Of Genitourinary Organs,140-239,Neoplasms
182,Malignant neoplasm of body of uterus,179-189,Malignant Neoplasm Of Genitourinary Organs,140-239,Neoplasms
183,Malignant neoplasm of ovary and other uterine adnexa,179-189,Malignant Neoplasm Of Genitourinary Organs,140-239,Neoplasms
184,Malignant neoplasm of other and unspecified female genital organs,179-189,Malignant Neoplasm Of Genitourinary Organs,140-239,Neoplasms
185,Malignant neoplasm of prostate,179-189,Malignant Neoplasm Of Genitourinary Organs,140-239,Neoplasms
186,Malignant neoplasm of testis,179-189,Malignant Neoplasm Of Genitourinary Organs,140-239,Neoplasms
187,Malignant neoplasm of penis and other male genital organs,179-189,Malignant Neoplasm Of Genitourinary Organs,140-239,Neoplasms
188,Malignant neoplasm of bladder,179-189,Malignant Neoplasm Of Genitourinary Organs,140-239,Neoplasms
189,Malignant neoplasm of kidney and other and unspecified urinary organs,179-189,Malignant Neoplasm Of Genitourinary Organs,140-239,Neoplasms
190,Malignant neoplasm of eye,190-199,Malignant Neoplasm Of Other And Unspecified Sites,140-239,Neoplasms
191,Malignant neoplasm of brain,190-199,Malignant Neoplasm Of Other And Unspecified Sites,140-239,Neoplasms
192,Malignant neoplasm of other and unspecified parts of nervous system,190-199,Malignant Neoplasm Of Other And Unspecified Sites,140-239,Neoplasms
193,Malignant neoplasm of thyroid gland,190-199,Malignant Neoplasm Of Other And Unspecified Sites,140-239,Neoplasms
194,Malignant neoplasm of other endocrine glands and related structures,190-199,Malignant Neoplasm Of Other And Unspecified Sites,140-239,Neoplasms
195,Malignant neoplasm of other and ill-defined sites,190-199,Malignant Neoplasm Of Other And Unspecified Sites,140-239,Neoplasms
196,Secondary and unspecified malignant neoplasm of lymph nodes,190-199,Malignant Neoplasm Of Other And Unspecified Sites,140-239,Neoplasms
197,Secondary malignant neoplasm of respiratory and digestive systems,190-199,Malignant Neoplasm Of Other And Unspecified Sites,140-239,Neoplasms
198,Secondary malignant neoplasm of other specified sites,190-199,Malignant Neoplasm Of Other And Unspecified Sites,140-239,Neoplasms
199,Malignant neoplasm without specification of site,190-199,Malignant Neoplasm Of Other And Unspecified Sites,140-239,Neoplasms
200,Lymphosarcoma and reticulosarcoma and other specified malignant tumors of lymphatic tissue,200-209,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,140-239,Neoplasms
201,Hodgkin's disease,200-209,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,140-239,Neoplasms
202,Other malignant neoplasms of lymphoid and histiocytic tissue,200-209,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,140-239,Neoplasms
203,Multiple myeloma and immunoproliferative neoplasms,200-209,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,140-239,Neoplasms
204,Lymphoid leukemia,200-209,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,140-239,Neoplasms
205,Myeloid leukemia,200-209,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,140-239,Neoplasms
206,Monocytic leukemia,200-209,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,140-239,Neoplasms
207,Other specified leukemia,200-209,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,140-239,Neoplasms
208,Leukemia of unspecified cell type,200-209,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,140-239,Neoplasms
209,Neuroendocrine tumors,200-209,Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue,140-239,Neoplasms
210,Benign neoplasm of lip oral cavity and pharynx,210-229,Benign Neoplasms,140-239,Neoplasms
211,Benign neoplasm of other parts of digestive system,210-229,Benign Neoplasms,140-239,Neoplasms
212,Benign neoplasm of respiratory and intrathoracic organs,210-229,Benign Neoplasms,140-239,Neoplasms
213,Benign neoplasm of bone and articular cartilage,210-229,Benign Neoplasms,140-239,Neoplasms
214,Lipoma,210-229,Benign Neoplasms,140-239,Neoplasms
215,Other benign neoplasm of connective and other soft tissue,210-229,Benign Neoplasms,140-239,Neoplasms
216,Benign neoplasm of skin,210-229,Benign Neoplasms,140-239,Neoplasms
217,Benign neoplasm of breast,210-229,Benign Neoplasms,140-239,Neoplasms
218,Uterine leiomyoma,210-229,Benign Neoplasms,140-239,Neoplasms
219,Other benign neoplasm of uterus,210-229,Benign Neoplasms,140-239,Neoplasms
220,Benign neoplasm of ovary,210-229,Benign Neoplasms,140-239,Neoplasms
221,Benign neoplasm of other female genital organs,210-229,Benign Neoplasms,140-239,Neoplasms
222,Benign neoplasm of male genital organs,210-229,Benign Neoplasms,140-239,Neoplasms
223,Benign neoplasm of kidney and other urinary organs,210-229,Benign Neoplasms,140-239,Neoplasms
224,Benign neoplasm of eye,210-229,Benign Neoplasms,140-239,Neoplasms
225,Benign neoplasm of brain and other parts of nervous system,210-229,Benign Neoplasms,140-239,Neoplasms
226,Benign neoplasm of thyroid glands,210-229,Benign Neoplasms,140-239,Neoplasms
227,Benign neoplasm of other endocrine glands and related structures,210-229,Benign Neoplasms,140-239,Neoplasms
228,Hemangioma and lymphangioma any site,210-229,Benign Neoplasms,140-239,Neoplasms
229,Benign neoplasm of other and unspecified sites,210-229,Benign Neoplasms,140-239,Neoplasms
230,Carcinoma in situ of digestive organs,230-234,Carcinoma In Situ,140-239,Neoplasms
231,Carcinoma in situ of respiratory system,230-234,Carcinoma In Situ,140-239,Neoplasms
232,Carcinoma in situ of skin,230-234,Carcinoma In Situ,140-239,Neoplasms
233,Carcinoma in situ of breast and genitourinary system,230-234,Carcinoma In Situ,140-239,Neoplasms
234,Carcinoma in situ of other and unspecified sites,230-234,Carcinoma In Situ,140-239,Neoplasms
235,Neoplasm of uncertain behavior of digestive and respiratory systems,235-238,Neoplasms Of Uncertain Behavior,140-239,Neoplasms
236,Neoplasm of uncertain behavior of genitourinary organs,235-238,Neoplasms Of Uncertain Behavior,140-239,Neoplasms
237,Neoplasm of uncertain behavior of endocrine glands and nervous system,235-238,Neoplasms Of Uncertain Behavior,140-239,Neoplasms
238,Neoplasm of uncertain behavior of other and unspecified sites and tissues,235-238,Neoplasms Of Uncertain Behavior,140-239,Neoplasms
239,Neoplasms of unspecified nature,239-239,Neoplasms Of Unspecified Nature,140-239,Neoplasms
240,Simple and unspecified goiter,240-246,Disorders Of Thyroid Gland,240-279,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
241,Nontoxic nodular goiter,240-246,Disorders Of Thyroid Gland,240-279,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
242,Thyrotoxicosis with or without goiter,240-246,Disorders Of Thyroid Gland,240-279,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
243,Congenital hypothyroidism,240-246,Disorders Of Thyroid Gland,240-279,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
244,Acquired hypothyroidism,240-246,Disorders Of Thyroid Gland,240-279,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
245,Thyroiditis,240-246,Disorders Of Thyroid Gland,240-279,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
246,Other disorders of thyroid,240-246,Disorders Of Thyroid Gland,240-279,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
249,Secondary diabetes mellitus,249-259,Diseases Of Other Endocrine Glands,240-279,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
250,Diabetes mellitus,249-259,Diseases Of Other Endocrine Glands,240-279,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
251,Other disorders of pancreatic internal secretion,249-259,Diseases Of Other Endocrine Glands,240-279,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
252,Disorders of parathyroid gland,249-259,Diseases Of Other Endocrine Glands,240-279,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
253,Disorders of the pituitary gland and its hypothalamic control,249-259,Diseases Of Other Endocrine Glands,240-279,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
254,Diseases of thymus gland,249-259,Diseases Of Other Endocrine Glands,240-279,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
255,Disorders of adrenal glands,249-259,Diseases Of Other Endocrine Glands,240-279,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
256,Ovarian dysfunction,249-259,Diseases Of Other Endocrine Glands,240-279,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
257,Testicular dysfunction,249-259,Diseases Of Other Endocrine Glands,240-279,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
258,Polyglandular dysfunction and related disorders,249-259,Diseases Of Other Endocrine Glands,240-279,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
259,Other endocrine disorders,249-259,Diseases Of Other Endocrine Glands,240-279,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
260,Kwashiorkor,260-269,Nutritional Deficiencies,240-279,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
261,Nutritional marasmus,260-269,Nutritional Deficiencies,240-279,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
262,Other severe protein-calorie malnutrition,260-269,Nutritional Deficiencies,240-279,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
263,Other and unspecified protein-calorie malnutrition,260-269,Nutritional Deficiencies,240-279,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
264,Vitamin a deficiency,260-269,Nutritional Deficiencies,240-279,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
265,Thiamine and niacin deficiency states,260-269,Nutritional Deficiencies,240-279,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
266,Deficiency of b-complex components,260-269,Nutritional Deficiencies,240-279,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
267,Ascorbic acid deficiency,260-269,Nutritional Deficiencies,240-279,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
268,Vitamin d deficiency,260-269,Nutritional Deficiencies,240-279,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
269,Other nutritional deficiencies,260-269,Nutritional Deficiencies,240-279,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders"
