800-999 Injury And Poisoning
	800-804 Fracture Of Skull
		800 Fracture of vault of skull
			800.72 Open fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with brief [less than one hour] loss of consciousness
			800.73 Open fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with moderate [1-24 hours] loss of consciousness
			800.74 Open fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level
			800.75 Open fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level
			800.76 Open fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with loss of consciousness of unspecified duration
			800.79 Open fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with concussion, unspecified
			800.8 Open fracture of vault of skull with other and unspecified intracranial hemorrhage
			800.80 Open fracture of vault of skull with other and unspecified intracranial hemorrhage, unspecified state of consciousness
			800.81 Open fracture of vault of skull with other and unspecified intracranial hemorrhage, with no loss of consciousness
			800.82 Open fracture of vault of skull with other and unspecified intracranial hemorrhage, with brief [less than one hour] loss of consciousness
			800.83 Open fracture of vault of skull with other and unspecified intracranial hemorrhage, with moderate [1-24 hours] loss of consciousness
			800.84 Open fracture of vault of skull with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level
			800.85 Open fracture of vault of skull with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level
			800.86 Open fracture of vault of skull with other and unspecified intracranial hemorrhage, with loss of consciousness of unspecified duration
			800.89 Open fracture of vault of skull with other and unspecified intracranial hemorrhage, with concussion, unspecified
			800.9 Open fracture of vault of skull with intracranial injury of other and unspecified nature
			800.90 Open fracture of vault of skull with intracranial injury of other and unspecified nature, unspecified state of consciousness
			800.91 Open fracture of vault of skull with intracranial injury of other and unspecified nature, with no loss of consciousness
			800.92 Open fracture of vault of skull with intracranial injury of other and unspecified nature, with brief [less than one hour] loss of consciousness
			800.93 Open fracture of vault of skull with intracranial injury of other and unspecified nature, with moderate [1-24 hours] loss of consciousness
			800.94 Open fracture of vault of skull with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level
			800.95 Open fracture of vault of skull with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level
			800.96 Open fracture of vault of skull with intracranial injury of other and unspecified nature, with loss of consciousness of unspecified duration
			800.99 Open fracture of vault of skull with intracranial injury of other and unspecified nature, with concussion, unspecified
		801 Fracture of base of skull
			801 Fracture of base of skull
			801.0 Closed fracture of base of skull without mention of intracranial injury
			801.00 Closed fracture of base of skull without mention of intra cranial injury, unspecified state of consciousness
			801.01 Closed fracture of base of skull without mention of intra cranial injury, with no loss of consciousness
			801.02 Closed fracture of base of skull without mention of intra cranial injury, with brief [less than one hour] loss of consciousness
			801.03 Closed fracture of base of skull without mention of intra cranial injury, with moderate [1-24 hours] loss of consciousness
			801.04 Closed fracture of base of skull without mention of intra cranial injury, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level
			801.05 Closed fracture of base of skull without mention of intra cranial injury, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level
			801.06 Closed fracture of base of skull without mention of intra cranial injury, with loss of consciousness of unspecified duration
			801.09 Closed fracture of base of skull without mention of intra cranial injury, with concussion, unspecified
			801.1 Closed fracture of base of skull with cerebral laceration and contusion
			801.10 Closed fracture of base of skull with cerebral laceration and contusion, unspecified state of consciousness
			801.11 Closed fracture of base of skull with cerebral laceration and contusion, with no loss of consciousness
			801.12 Closed fracture of base of skull with cerebral laceration and contusion, with brief [less than one hour] loss of consciousness
			801.13 Closed fracture of base of skull with cerebral laceration and contusion, with moderate [1-24 hours] loss of consciousness
			801.14 Closed fracture of base of skull with cerebral laceration and contusion, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level
			801.15 Closed fracture of base of skull with cerebral laceration and contusion, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level
			801.16 Closed fracture of base of skull with cerebral laceration and contusion, with loss of consciousness of unspecified duration
			801.19 Closed fracture of base of skull with cerebral laceration and contusion, with concussion, unspecified
			801.2 Closed fracture of base of skull with subarachnoid subdural and extradural hemorrhage
			801.20 Closed fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, unspecified state of consciousness
			801.21 Closed fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with no loss of consciousness
			801.22 Closed fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with brief [less than one hour] loss of consciousness
			801.23 Closed fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with moderate [1-24 hours] loss of consciousness
			801.24 Closed fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level
			801.25 Closed fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level
			801.26 Closed fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with loss of consciousness of unspecified duration
			801.29 Closed fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with concussion, unspecified
			801.3 Closed fracture of base of skull with other and unspecified intracranial hemorrhage
			801.30 Closed fracture of base of skull with other and unspecified intracranial hemorrhage, unspecified state of consciousness
			801.31 Closed fracture of base of skull with other and unspecified intracranial hemorrhage, with no loss of consciousness
			801.32 Closed fracture of base of skull with other and unspecified intracranial hemorrhage, with brief [less than one hour] loss of consciousness
			801.33 Closed fracture of base of skull with other and unspecified intracranial hemorrhage, with moderate [1-24 hours] loss of consciousness
			801.34 Closed fracture of base of skull with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level
			801.35 Closed fracture of base of skull with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level
			801.36 Closed fracture of base of skull with other and unspecified intracranial hemorrhage, with loss of consciousness of unspecified duration
			801.39 Closed fracture of base of skull with other and unspecified intracranial hemorrhage, with concussion, unspecified
			801.4 Closed fracture of base of skull with intracranial injury of other and unspecified nature
			801.40 Closed fracture of base of skull with intracranial injury of other and unspecified nature, unspecified state of consciousness
			801.41 Closed fracture of base of skull with intracranial injury of other and unspecified nature, with no loss of consciousness
			801.42 Closed fracture of base of skull with intracranial injury of other and unspecified nature, with brief [less than one hour] loss of consciousness
			801.43 Closed fracture of base of skull with intracranial injury of other and unspecified nature, with moderate [1-24 hours] loss of consciousness
			801.44 Closed fracture of base of skull with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours) loss of consciousness and return to pre-existing conscious level
			801.45 Closed fracture of base of skull with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level
			801.46 Closed fracture of base of skull with intracranial injury of other and unspecified nature, with loss of consciousness of unspecified duration
			801.49 Closed fracture of base of skull with intracranial injury of other and unspecified nature, with concussion, unspecified
			801.5 Open fracture of base of skull without mention of intracranial injury
			801.50 Open fracture of base of skull without mention of intracranial injury, unspecified state of consciousness
			801.51 Open fracture of base of skull without mention of intracranial injury, with no loss of consciousness
			801.52 Open fracture of base of skull without mention of intracranial injury, with brief [less than one hour] loss of consciousness
			801.53 Open fracture of base of skull without mention of intracranial injury, with moderate [1-24 hours] loss of consciousness
			801.54 Open fracture of base of skull without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level
			801.55 Open fracture of base of skull without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level
			801.56 Open fracture of base of skull without mention of intracranial injury, with loss of consciousness of unspecified duration
			801.59 Open fracture of base of skull without mention of intracranial injury, with concussion, unspecified
			801.6 Open fracture of base of skull with cerebral laceration and contusion
			801.60 Open fracture of base of skull with cerebral laceration and contusion, unspecified state of consciousness
			801.61 Open fracture of base of skull with cerebral laceration and contusion, with no loss of consciousness
			801.62 Open fracture of base of skull with cerebral laceration and contusion, with brief [less than one hour] loss of consciousness
			801.63 Open fracture of base of skull with cerebral laceration and contusion, with moderate [1-24 hours] loss of consciousness
			801.64 Open fracture of base of skull with cerebral laceration and contusion, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level
			801.65 Open fracture of base of skull with cerebral laceration and contusion, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level
			801.66 Open fracture of base of skull with cerebral laceration and contusion, with loss of consciousness of unspecified duration
			801.69 Open fracture of base of skull with cerebral laceration and contusion, with concussion, unspecified
			801.7 Open fracture of base of skull with subarachnoid subdural and extradural hemorrhage
			801.70 Open fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, unspecified state of consciousness
			801.71 Open fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with no loss of consciousness
			801.72 Open fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with brief [less than one hour] loss of consciousness
			801.73 Open fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with moderate [1-24 hours] loss of consciousness
			801.74 Open fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level
			801.75 Open fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level
			801.76 Open fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with loss of consciousness of unspecified duration
			801.79 Open fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with concussion, unspecified
			801.8 Open fracture of base of skull with other and unspecified intracranial hemorrhage
			801.80 Open fracture of base of skull with other and unspecified intracranial hemorrhage, unspecified state of consciousness
			801.81 Open fracture of base of skull with other and unspecified intracranial hemorrhage, with no loss of consciousness
			801.82 Open fracture of base of skull with other and unspecified intracranial hemorrhage, with brief [less than one hour] loss of consciousness
			801.83 Open fracture of base of skull with other and unspecified intracranial hemorrhage, with moderate [1-24 hours] loss of consciousness
			801.84 Open fracture of base of skull with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level
			801.85 Open fracture of base of skull with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level
			801.86 Open fracture of base of skull with other and unspecified intracranial hemorrhage, with loss of consciousness of unspecified duration
			801.89 Open fracture of base of skull with other and unspecified intracranial hemorrhage, with concussion, unspecified
			801.9 Open fracture of base of skull with intracranial injury of other and unspecified nature
			801.90 Open fracture of base of skull with intracranial injury of other and unspecified nature, unspecified state of consciousness
			801.91 Open fracture of base of skull with intracranial injury of other and unspecified nature, with no loss of consciousness
			801.92 Open fracture of base of skull with intracranial injury of other and unspecified nature, with brief [less than one hour] loss of consciousness
			801.93 Open fracture of base of skull with intracranial injury of other and unspecified nature, with moderate [1-24 hours] loss of consciousness
			801.94 Open fracture of base of skull with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level
			801.95 Open fracture of base of skull with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level
			801.96 Open fracture of base of skull with intracranial injury of other and unspecified nature, with loss of consciousness of unspecified duration
			801.99 Open fracture of base of skull with intracranial injury of other and unspecified nature, with concussion, unspecified
		802 Fracture of face bones
			802 Fracture of face bones
			802.0 Closed fracture of nasal bones
			802.1 Open fracture of nasal bones
			802.2 Closed fracture of mandible
			802.20 Closed fracture of mandible, unspecified site
			802.21 Closed fracture of mandible, condylar process
			802.22 Closed fracture of mandible, subcondylar
			802.23 Closed fracture of mandible, coronoid process
			802.24 Closed fracture of mandible, ramus, unspecified
			802.25 Closed fracture of mandible, angle of jaw
			802.26 Closed fracture of mandible, symphysis of body
			802.27 Closed fracture of mandible, alveolar border of body
			802.28 Closed fracture of mandible, body, other and unspecified
			802.29 Closed fracture of mandible, multiple sites
			802.3 Open fracture of mandible
			802.30 Open fracture of mandible, unspecified site
			802.31 Open fracture of mandible, condylar process
			802.32 Open fracture of mandible, subcondylar
			802.33 Open fracture of mandible, coronoid process
			802.34 Open fracture of mandible, ramus, unspecified
			802.35 Open fracture of mandible, angle of jaw
			802.36 Open fracture of mandible, symphysis of body
			802.37 Open fracture of mandible, alveolar border of body
			802.38 Open fracture of mandible, body, other and unspecified
			802.39 Open fracture of mandible, multiple sites
			802.4 Closed fracture of malar and maxillary bones
			802.5 Open fracture of malar and maxillary bones
			802.6 Closed fracture of orbital floor (blow-out)
			802.7 Open fracture of orbital floor (blow-out)
			802.8 Closed fracture of other facial bones
			802.9 Open fracture of other facial bones
		803 Other and unqualified skull fractures
			803 Other and unqualified skull fractures
			803.0 Other closed skull fracture without mention of intracranial injury
			803.00 Other closed skull fracture without mention of intracranial injury, unspecified state of consciousness
			803.01 Other closed skull fracture without mention of intracranial injury, with no loss of consciousness
			803.02 Other closed skull fracture without mention of intracranial injury, with brief [less than one hour] loss of consciousness
			803.03 Other closed skull fracture without mention of intracranial injury, with moderate [1-24 hours] loss of consciousness
			803.04 Other closed skull fracture without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level
			803.05 Other closed skull fracture without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level
			803.06 Other closed skull fracture without mention of intracranial injury, with loss of consciousness of unspecified duration
			803.09 Other closed skull fracture without mention of intracranial injury, with concussion, unspecified
			803.1 Other closed skull fracture with cerebral laceration and contusion
			803.10 Other closed skull fracture with cerebral laceration and contusion, unspecified state of consciousness
			803.11 Other closed skull fracture with cerebral laceration and contusion, with no loss of consciousness
			803.12 Other closed skull fracture with cerebral laceration and contusion, with brief [less than one hour] loss of consciousness
			803.13 Other closed skull fracture with cerebral laceration and contusion, with moderate [1-24 hours] loss of consciousness
			803.14 Other closed skull fracture with cerebral laceration and contusion, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level
			803.15 Other closed skull fracture with cerebral laceration and contusion, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level
			803.16 Other closed skull fracture with cerebral laceration and contusion, with loss of consciousness of unspecified duration
			803.19 Other closed skull fracture with cerebral laceration and contusion, with concussion, unspecified
			803.2 Other closed skull fracture with subarachnoid subdural and extradural hemorrhage
			803.20 Other closed skull fracture with subarachnoid, subdural, and extradural hemorrhage, unspecified state of consciousness
			803.21 Other closed skull fracture with subarachnoid, subdural, and extradural hemorrhage, with no loss of consciousness
			803.22 Other closed skull fracture with subarachnoid, subdural, and extradural hemorrhage, with brief [less than one hour] loss of consciousness
			803.23 Other closed skull fracture with subarachnoid, subdural, and extradural hemorrhage, with moderate [1-24 hours] loss of consciousness
			803.24 Other closed skull fracture with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level
			803.25 Other closed skull fracture with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level
			803.26 Other closed skull fracture with subarachnoid, subdural, and extradural hemorrhage, with loss of consciousness of unspecified duration
			803.29 Other closed skull fracture with subarachnoid, subdural, and extradural hemorrhage, with concussion, unspecified
			803.3 Closed skull fracture with other and unspecified intracranial hemorrhage
			803.30 Other closed skull fracture with other and unspecified intracranial hemorrhage, unspecified state of unconsciousness
			803.31 Other closed skull fracture with other and unspecified intracranial hemorrhage, with no loss of consciousness
			803.32 Other closed skull fracture with other and unspecified intracranial hemorrhage, with brief [less than one hour] loss of consciousness
			803.33 Other closed skull fracture with other and unspecified intracranial hemorrhage, with moderate [1-24 hours] loss of consciousness
			803.34 Other closed skull fracture with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level
			803.35 Other closed skull fracture with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level
			803.36 Other closed skull fracture with other and unspecified intracranial hemorrhage, with loss of consciousness of unspecified duration
			803.39 Other closed skull fracture with other and unspecified intracranial hemorrhage, with concussion, unspecified
			803.4 Closed skull fracture with intracranial injury of other and unspecified nature
			803.40 Other closed skull fracture with intracranial injury of other and unspecified nature, unspecified state of consciousness
			803.41 Other closed skull fracture with intracranial injury of other and unspecified nature, with no loss of consciousness
			803.42 Other closed skull fracture with intracranial injury of other and unspecified nature, with brief [less than one hour] loss of consciousness
			803.43 Other closed skull fracture with intracranial injury of other and unspecified nature, with moderate [1-24 hours] loss of consciousness
			803.44 Other closed skull fracture with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level
			803.45 Other closed skull fracture with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level
			803.46 Other closed skull fracture with intracranial injury of other and unspecified nature, with loss of consciousness of unspecified duration
			803.49 Other closed skull fracture with intracranial injury of other and unspecified nature, with concussion, unspecified
			803.5 Other open skull fracture without mention of intracranial injury
			803.50 Other open skull fracture without mention of injury, unspecified state of consciousness
			803.51 Other open skull fracture without mention of intracranial injury, with no loss of consciousness
			803.52 Other open skull fracture without mention of intracranial injury, with brief [less than one hour] loss of consciousness
			803.53 Other open skull fracture without mention of intracranial injury, with moderate [1-24 hours] loss of consciousness
			803.54 Other open skull fracture without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level
			803.55 Other open skull fracture without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level
			803.56 Other open skull fracture without mention of intracranial injury, with loss of consciousness of unspecified duration
			803.59 Other open skull fracture without mention of intracranial injury, with concussion, unspecified
			803.6 Other open skull fracture with cerebral laceration and contusion
			803.60 Other open skull fracture with cerebral laceration and contusion, unspecified state of consciousness
			803.61 Other open skull fracture with cerebral laceration and contusion, with no loss of consciousness
			803.62 Other open skull fracture with cerebral laceration and contusion, with brief [less than one hour] loss of consciousness
			803.63 Other open skull fracture with cerebral laceration and contusion, with moderate [1-24 hours] loss of consciousness
			803.64 Other open skull fracture with cerebral laceration and contusion, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level
			803.65 Other open skull fracture with cerebral laceration and contusion, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level
			803.66 Other open skull fracture with cerebral laceration and contusion, with loss of consciousness of unspecified duration
			803.69 Other open skull fracture with cerebral laceration and contusion, with concussion, unspecified
			803.7 Other open skull fracture with subarachnoid subdural and extradural hemorrhage
			803.70 Other open skull fracture with subarachnoid, subdural, and extradural hemorrhage, unspecified state of consciousness
			803.71 Other open skull fracture with subarachnoid, subdural, and extradural hemorrhage, with no loss of consciousness
			803.72 Other open skull fracture with subarachnoid, subdural, and extradural hemorrhage, with brief [less than one hour] loss of consciousness
			803.73 Other open skull fracture with subarachnoid, subdural, and extradural hemorrhage, with moderate [1-24 hours] loss of consciousness
			803.74 Other open skull fracture with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level
			803.75 Other open skull fracture with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level
			803.76 Other open skull fracture with subarachnoid, subdural, and extradural hemorrhage, with loss of consciousness of unspecified duration
			803.79 Other open skull fracture with subarachnoid, subdural, and extradural hemorrhage, with concussion, unspecified
			803.8 Other open skull fracture with other and unspecified intracranial hemorrhage
			803.80 Other open skull fracture with other and unspecified intracranial hemorrhage, unspecified state of consciousness
			803.81 Other open skull fracture with other and unspecified intracranial hemorrhage, with no loss of consciousness
			803.82 Other open skull fracture with other and unspecified intracranial hemorrhage, with brief [less than one hour] loss of consciousness
			803.83 Other open skull fracture with other and unspecified intracranial hemorrhage, with moderate [1-24 hours] loss of consciousness
			803.84 Other open skull fracture with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level
			803.85 Other open skull fracture with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level
			803.86 Other open skull fracture with other and unspecified intracranial hemorrhage, with loss of consciousness of unspecified duration
			803.89 Other open skull fracture with other and unspecified intracranial hemorrhage, with concussion, unspecified
			803.9 Other open skull fracture with intracranial injury of other and unspecified nature
			803.90 Other open skull fracture with intracranial injury of other and unspecified nature, unspecified state of consciousness
			803.91 Other open skull fracture with intracranial injury of other and unspecified nature, with no loss of consciousness
			803.92 Other open skull fracture with intracranial injury of other and unspecified nature, with brief [less than one hour] loss of consciousness
			803.93 Other open skull fracture with intracranial injury of other and unspecified nature, with moderate [1-24 hours] loss of consciousness
			803.94 Other open skull fracture with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level
			803.95 Other open skull fracture with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level
			803.96 Other open skull fracture with intracranial injury of other and unspecified nature, with loss of consciousness of unspecified duration
			803.99 Other open skull fracture with intracranial injury of other and unspecified nature, with concussion, unspecified
		804 Multiple fractures involving skull or face with other bones
			804 Multiple fractures involving skull or face with other bones
